N;W(N)
0;0.038475218506678226
1;0.038584888088030025
2;0.03880545568409362
3;0.03913940684686795
4;0.03959054274359344
5;0.04016407078274796
6;0.040866731016824476
7;0.041706963518423866
8;0.04269512379600433
9;0.04384375563429652
10;0.045167933679559326
11;0.04668569186515361
12;0.04841855869109493
13;0.05039222684677904
14;0.0526373932716023
15;0.05519081728108111
16;0.058096659964056906
17;0.06140818925554615
18;0.06518996414180774
19;0.06952065153021923
20;0.07449668492449511
21;0.0802370515752329
22;0.08688960320310408
23;0.09463943708770275
24;0.10372010568069671
25;0.11442870398735325
