N;W(N)
0;0.038461538461538464
1;0.04483947996816131
2;0.05291170945522856
3;0.0633195953540652
4;0.07702825888787602
5;0.09553420011305822
6;0.1212338593974175
7;0.1580916744621141
8;0.21284634760705293
9;0.29701230228471
10;0.4289340101522844
11;0.6282527881040892
12;0.8711340206185568
13;1.0
14;0.8711340206185568
15;0.6282527881040895
16;0.4289340101522841
17;0.29701230228471
18;0.21284634760705293
19;0.15809167446211417
20;0.12123385939741745
21;0.09553420011305822
22;0.07702825888787602
23;0.0633195953540652
24;0.05291170945522854
25;0.04483947996816131
