n;|x-x*|
1;0.17471957661108484
2;0.09456047989572791
3;0.0494410651553393
4;0.025315653316055786
5;0.012810520293642602
6;0.006439851635733573
7;0.0032239702700360695
8;0.0016082592942329166
9;0.0007984441564320433
10;0.00039304451576860355
11;0.00019022140602020787
12;8.877899475889794e-05
13;3.805007077117839e-05
14;1.2683678655145414e-05
15;0.0
