n;|x-x*|
1;0.1111704749719441
2;0.04393115220022137
3;0.006353893310630299
4;0.0009241950545197941
5;0.0001345358098809868
6;1.9585867051641337e-05
7;2.850445183111283e-06
8;4.139074665232556e-07
9;5.91668962712788e-08
10;7.519460720750715e-09
11;0.0
