k E(k)
0 50.399927413995584
1 53.65435878165428
2 37.78161917770892
3 33.00962494643838
4 24.556072067386324
5 20.562145569625784
6 15.694763345682432
7 12.876239158073204
8 9.979013164639568
9 8.092303975642182
10 6.332032039926844
11 5.099194513792824
12 4.014777868624719
13 3.2194140391106743
14 2.5450002024676763
15 2.0355385064137863
16 1.6133942529006475
17 1.2884064033870573
18 1.0230040621159162
19 0.8161823322465693
20 0.6488211155182739
21 0.5173738042802114
22 0.4116170378205197
23 0.328132519359599
24 0.2612062199705889
25 0.2082005136848295
26 0.16580278721522745
27 0.13215168250800957
28 0.10527185377945614
29 0.08390734687480972
30 0.06685560470084795
31 0.05329013568002949
32 0.042467937926218724
33 0.03385322429399196
34 0.026982060946323827
35 0.021510434057461225
36 0.017146389950113416
37 0.013670546488739888
38 0.010898009991663571
39 0.008689674664992708
40 0.006927747912243376
41 0.005524551573444114
42 0.004404541272123197
43 0.003512877012568083
44 0.0028006958679185345
45 0.0022340845713415547
46 0.0017810651476537487
47 0.0014210446656903741
48 0.0011327454384968405
49 0.0009040475655410773
50 0.0007204608665603018
51 0.0005752531979652531
52 0.00045824284060813625
53 0.0003661230157661066
54 0.00029144822345017474
55 0.0002330893283755131
56 0.00018533920390950698
57 0.00014845316979972267
58 0.00011782884666899918
59 9.46017945722133e-05
60 7.487187512822402e-05
61 6.033435973051837e-05
62 4.753558366132893e-05
63 3.852675496318625e-05
64 3.0138118404465786e-05
65 2.4647257291121605e-05
66 1.906497973891419e-05
67 1.5812859459174433e-05
68 1.2016556439675696e-05
69 1.0189242217961691e-05
70 7.529640328129972e-06
71 6.609197370721631e-06
72 4.673121850373718e-06
73 4.329939130798266e-06
74 2.8544357917326124e-06
75 2.878731606870133e-06
76 1.6964354898618694e-06
77 1.9546824603366986e-06
78 9.59060258765021e-07
79 1.366260391932883e-06
80 4.894947807088101e-07
81 9.915376892877248e-07
82 1.904540170016844e-07
83 7.52890045419008e-07
84 0.0
