k E(k)
0 51.02153823921484
1 53.64052770963181
2 37.730682532576964
3 33.063128533851625
4 24.571299279023137
5 20.650978584386934
6 15.756883615883126
7 12.968328238807047
8 10.052109360786872
9 8.172293365277156
10 6.3978638799077885
11 5.162661656543634
12 4.067559613954032
13 3.26714195669517
14 2.584748441556073
15 2.0702040351300752
16 1.642208414176892
17 1.3129876242245047
18 1.0433734883910546
19 0.8333127553928392
20 0.6629694082239155
21 0.5291570726971742
22 0.42131802345087976
23 0.33615618757600885
24 0.26779268323515737
25 0.2136204307990539
26 0.17024024096893697
27 0.1357890274464495
28 0.10824296014533275
29 0.08633532017042
30 0.0688348079871588
31 0.05490357231525422
32 0.043780796941604194
33 0.03492131377878138
34 0.0278497946571008
35 0.02221520853507286
36 0.01771815973016544
37 0.014134285520555068
38 0.011273764118854501
39 0.008994070032130708
40 0.007174114625215111
41 0.005723929435603736
42 0.00456574594576864
43 0.0036432247632944836
44 0.0029059868224123875
45 0.0023191621947660224
46 0.0018497253711018402
47 0.0014764942241072276
48 0.0011774536713460293
49 0.0009401410951284106
50 0.0007495339343961405
51 0.0005987215322562633
52 0.0004771250738286881
53 0.00038136809693867235
54 0.00030369710032118746
55 0.0002429851046059639
56 0.0001932755381375273
57 0.00015487314441031685
58 0.00012296450938720227
59 9.876563424882079e-05
60 7.819049517365784e-05
61 6.303511271710249e-05
62 4.967637525510327e-05
63 4.02795104434972e-05
64 3.151604450124523e-05
65 2.5786237614511265e-05
66 1.9949171004896016e-05
67 1.655473474215796e-05
68 1.2581412534018455e-05
69 1.0674361092810614e-05
70 7.888086130947158e-06
71 6.928403479378176e-06
72 4.898225014926538e-06
73 4.541992922213467e-06
74 2.9934436867051772e-06
75 3.0216174877750746e-06
76 1.7798811740021847e-06
77 2.052940516250601e-06
78 1.0066645188544499e-06
79 1.4357365216710605e-06
80 5.139884677873852e-07
81 1.0424588623436648e-06
82 2.0005177248094697e-07
83 7.918537932027903e-07
84 0.0
