k E(k)
0 51.02153859264876
1 18.990507027806117
2 5.117238756765289
3 1.4551181550881296
4 0.40638891710345604
5 0.11397835006796697
6 0.03184296753190097
7 0.00892205142019975
8 0.002485200723640446
9 0.0006958235177449978
10 0.00019356722575025742
11 5.409889595853201e-05
12 1.5046003838392608e-05
13 4.189496578987928e-06
14 1.167901615417577e-06
15 3.222788507173391e-07
16 9.183402482904057e-08
17 2.305530699686642e-08
18 8.829502462504024e-09
19 0.0
